order	comment	chord	lyric	last_comment	last_chord	last_lyric
0	> Intro: 	Am F C				
1	- Chorus:	Am   F           C	Ich sitze schon wieder	> Intro: 	Am F C	
2		Am  F         C	Barfuß am Klavier	- Chorus:	Am   F           C	Ich sitze schon wieder
3		Am          F      C	Ich träume Liebeslieder		Am  F         C	Barfuß am Klavier
4		                          Am  F  C	und sing dabei von dir		Am          F      C	Ich träume Liebeslieder
5	- Verse:	Dm	Du und ich,		                          Am  F  C	und sing dabei von dir
6		                    C	wir waren wunderlich	- Verse:	Dm	Du und ich,
7		           F	Nicht für mich		                    C	wir waren wunderlich
8		                 Em	für die, die es störte		           F	Nicht für mich
9		                     F	wenn man uns nachts hörte		                 Em	für die, die es störte
10		             C                        F	Ich hab mit dir gemeinsam einsam rumgesessen und geschwiegen		                     F	wenn man uns nachts hörte
11		     Em                             F	ich erinnere mich am besten ans gemeinsam einsam liegen		             C                        F	Ich hab mit dir gemeinsam einsam rumgesessen und geschwiegen
12		       C	jeden morgen		     Em                             F	ich erinnere mich am besten ans gemeinsam einsam liegen
13		     F	danach bei dir		       C	jeden morgen
14		Em                      F	   du nackt im bett und ich barfuß am Klavier		     F	danach bei dir
15	- Chorus:	Am   F           C	Ich sitze schon wieder		Em                      F	   du nackt im bett und ich barfuß am Klavier
16		Am  F         C	Barfuß am Klavier	- Chorus:	Am   F           C	Ich sitze schon wieder
17		Am          F      C	Ich träume Liebeslieder		Am  F         C	Barfuß am Klavier
18		                          Am  F  C	und sing dabei von dir		Am          F      C	Ich träume Liebeslieder
19	- Post-Chorus:	Dm	   Du und ich		                          Am  F  C	und sing dabei von dir
20		              C    F   Em  F	es ging so nicht	- Post-Chorus:	Dm	   Du und ich
21	- Verse:	 C	Du wolltest alles wissen		              C    F   Em  F	es ging so nicht
22		   F	und das hat mich vertrieben	- Verse:	 C	Du wolltest alles wissen
23		Em	eigentlich dich		   F	und das hat mich vertrieben
24		              F	Du bist nicht länger geblieben		Em	eigentlich dich
25		     Em	bei mir		              F	Du bist nicht länger geblieben
26		                         F	und so sitze ich um zu lieben		     Em	bei mir
27		            Em          Dm	lieber Barfuß am Klavier		                         F	und so sitze ich um zu lieben
28	- Chorus:	Am   F           C	Ich sitze schon wieder		            Em          Dm	lieber Barfuß am Klavier
29		Am  F         C	Barfuß am Klavier	- Chorus:	Am   F           C	Ich sitze schon wieder
30		Am          F      C	Ich träume Liebeslieder		Am  F         C	Barfuß am Klavier
31		                          Am  F  C	und sing dabei von dir		Am          F      C	Ich träume Liebeslieder
32	- Post-Chorus:	Dm	   Du und ich		                          Am  F  C	und sing dabei von dir
33		                   C  F Dm F	wir waren zu wenig	- Post-Chorus:	Dm	   Du und ich
34	> Solo: 	( C  Dm Em F C F Em  F )			                   C  F Dm F	wir waren zu wenig
35	- Chorus:	Am   F           C	Ich sitze schon wieder	> Solo: 	( C  Dm Em F C F Em  F )	
36		Am  F         C	Barfuß am Klavier	- Chorus:	Am   F           C	Ich sitze schon wieder
37		Am          F        C	und träum dabei von Dir		Am  F         C	Barfuß am Klavier
38		Am          F        C	ich träum dabei von Dir		Am          F        C	und träum dabei von Dir
39		Am          F        C	ich träum dabei von Dir		Am          F        C	ich träum dabei von Dir
40		Am          F        C	und träum dabei von Dir		Am          F        C	ich träum dabei von Dir
