0	Barfuß am Klavier	[First Line]			> Intro: 	<span class=chord>Am</span><span class=image><img src=Am.png></span>&nbsp;<span class=chord>F</span><span class=image><img src=F.png></span>&nbsp;<span class=chord>C</span><span class=image><img src=C.png></span>	
1	Barfuß am Klavier	> Intro: 	<span class=chord>Am</span><span class=image><img src=Am.png></span>&nbsp;<span class=chord>F</span><span class=image><img src=F.png></span>&nbsp;<span class=chord>C</span><span class=image><img src=C.png></span>		- Chorus:	<span class=chord>Am</span><span class=image><img src=Am.png></span>&nbsp;&nbsp;&nbsp;<span class=chord>F</span><span class=image><img src=F.png></span>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;<span class=chord>C</span><span class=image><img src=C.png></span>	Ich sitze schon wieder
2	Barfuß am Klavier	- Chorus:	<span class=chord>Am</span><span class=image><img src=Am.png></span>&nbsp;&nbsp;&nbsp;<span class=chord>F</span><span class=image><img src=F.png></span>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;<span class=chord>C</span><span class=image><img src=C.png></span>	Ich sitze schon wieder		<span class=chord>Am</span><span class=image><img src=Am.png></span>&nbsp;&nbsp;<span class=chord>F</span><span class=image><img src=F.png></span>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;<span class=chord>C</span><span class=image><img src=C.png></span>	Barfuß am Klavier
3	Barfuß am Klavier		<span class=chord>Am</span><span class=image><img src=Am.png></span>&nbsp;&nbsp;<span class=chord>F</span><span class=image><img src=F.png></span>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;<span class=chord>C</span><span class=image><img src=C.png></span>	Barfuß am Klavier		<span class=chord>Am</span><span class=image><img src=Am.png></span>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;<span class=chord>F</span><span class=image><img src=F.png></span>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;<span class=chord>C</span><span class=image><img src=C.png></span>	Ich träume Liebeslieder
4	Barfuß am Klavier		<span class=chord>Am</span><span class=image><img src=Am.png></span>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;<span class=chord>F</span><span class=image><img src=F.png></span>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;<span class=chord>C</span><span class=image><img src=C.png></span>	Ich träume Liebeslieder		&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;<span class=chord>Am</span><span class=image><img src=Am.png></span>&nbsp;&nbsp;<span class=chord>F</span><span class=image><img src=F.png></span>&nbsp;&nbsp;<span class=chord>C</span><span class=image><img src=C.png></span>	und sing dabei von dir
5	Barfuß am Klavier		&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;<span class=chord>Am</span><span class=image><img src=Am.png></span>&nbsp;&nbsp;<span class=chord>F</span><span class=image><img src=F.png></span>&nbsp;&nbsp;<span class=chord>C</span><span class=image><img src=C.png></span>	und sing dabei von dir	- Verse:	<span class=chord>Dm</span><span class=image><img src=Dm.png></span>	Du und ich,
6	Barfuß am Klavier	- Verse:	<span class=chord>Dm</span><span class=image><img src=Dm.png></span>	Du und ich,		&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;<span class=chord>C</span><span class=image><img src=C.png></span>	wir waren wunderlich
7	Barfuß am Klavier		&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;<span class=chord>C</span><span class=image><img src=C.png></span>	wir waren wunderlich		&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;<span class=chord>F</span><span class=image><img src=F.png></span>	Nicht für mich
8	Barfuß am Klavier		&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;<span class=chord>F</span><span class=image><img src=F.png></span>	Nicht für mich		&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;<span class=chord>Em</span><span class=image><img src=Em.png></span>	für die, die es störte
9	Barfuß am Klavier		&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;<span class=chord>Em</span><span class=image><img src=Em.png></span>	für die, die es störte		&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;<span class=chord>F</span><span class=image><img src=F.png></span>	wenn man uns nachts hörte
10	Barfuß am Klavier		&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;<span class=chord>F</span><span class=image><img src=F.png></span>	wenn man uns nachts hörte		&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;<span class=chord>C</span><span class=image><img src=C.png></span>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;<span class=chord>F</span><span class=image><img src=F.png></span>	Ich hab mit dir gemeinsam einsam rumgesessen und geschwiegen
11	Barfuß am Klavier		&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;<span class=chord>C</span><span class=image><img src=C.png></span>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;<span class=chord>F</span><span class=image><img src=F.png></span>	Ich hab mit dir gemeinsam einsam rumgesessen und geschwiegen		&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;<span class=chord>Em</span><span class=image><img src=Em.png></span>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;<span class=chord>F</span><span class=image><img src=F.png></span>	ich erinnere mich am besten ans gemeinsam einsam liegen
12	Barfuß am Klavier		&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;<span class=chord>Em</span><span class=image><img src=Em.png></span>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;<span class=chord>F</span><span class=image><img src=F.png></span>	ich erinnere mich am besten ans gemeinsam einsam liegen		&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;<span class=chord>C</span><span class=image><img src=C.png></span>	jeden morgen
13	Barfuß am Klavier		&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;<span class=chord>C</span><span class=image><img src=C.png></span>	jeden morgen		&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;<span class=chord>F</span><span class=image><img src=F.png></span>	danach bei dir
14	Barfuß am Klavier		&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;<span class=chord>F</span><span class=image><img src=F.png></span>	danach bei dir		<span class=chord>Em</span><span class=image><img src=Em.png></span>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;<span class=chord>F</span><span class=image><img src=F.png></span>	   du nackt im bett und ich barfuß am Klavier
15	Barfuß am Klavier		<span class=chord>Em</span><span class=image><img src=Em.png></span>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;<span class=chord>F</span><span class=image><img src=F.png></span>	   du nackt im bett und ich barfuß am Klavier	- Chorus:	<span class=chord>Am</span><span class=image><img src=Am.png></span>&nbsp;&nbsp;&nbsp;<span class=chord>F</span><span class=image><img src=F.png></span>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;<span class=chord>C</span><span class=image><img src=C.png></span>	Ich sitze schon wieder
16	Barfuß am Klavier	- Chorus:	<span class=chord>Am</span><span class=image><img src=Am.png></span>&nbsp;&nbsp;&nbsp;<span class=chord>F</span><span class=image><img src=F.png></span>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;<span class=chord>C</span><span class=image><img src=C.png></span>	Ich sitze schon wieder		<span class=chord>Am</span><span class=image><img src=Am.png></span>&nbsp;&nbsp;<span class=chord>F</span><span class=image><img src=F.png></span>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;<span class=chord>C</span><span class=image><img src=C.png></span>	Barfuß am Klavier
